,SPD,BÜNDNIS 90/DIE GRÜNEN,FDP,CDU/CSU,DIE LINKE,AfD,Fraktionslos
78,0.0,-2.1013,3.640399999999999,-1.1759,-0.3734,-1.4816999999999998,2.0591000000000004
79,0.7461,-1.6603999999999997,2.8863000000000003,-1.1846999999999992,-3.1376999999999997,-2.7071999999999994,-1.6149
80,0.0,3.0250999999999992,2.4827999999999992,0.8519000000000003,0.29489999999999994,-3.7525,-1.6081
81,0.0,1.3749000000000005,3.7504000000000013,-1.6124999999999994,-4.1847,-0.8070999999999999,-0.9440999999999996
82,0.0,1.6925,2.9912000000000014,-2.6059000000000005,1.3549000000000002,0.918,-2.0235000000000003
83,3.112,1.7322,6.771099999999992,7.191199999999991,-2.8028,2.7561,0.7248000000000001
84,3.8454999999999986,-0.9068,0.0,2.6817,0.0,0.3341000000000002,-1.0007
85,4.6980999999999975,2.2892,0.1959,1.3559,1.1549,-2.9910999999999994,-1.6489999999999998
86,2.6023000000000005,-1.0843999999999998,2.6620000000000004,6.237399999999997,-0.7252000000000001,-3.8589000000000007,1.2323
87,-1.2062000000000002,2.2876000000000003,4.1973999999999965,-5.993400000000005,0.4677,-2.5536,-0.4658
88,0.8294999999999999,-1.6524,0.5179999999999998,-0.3214,-8.997700000000012,0.195,-4.1137
89,-0.2904999999999993,-0.773,-1.5196,-0.12129999999999992,-1.8752,0.0,-3.4333000000000014
90,6.184599999999995,0.0,-3.2087999999999988,1.7092999999999994,-6.0199000000000105,0.0,-0.9965
91,-2.0803,0.0,-2.4341000000000004,0.05250000000000005,-0.9984,0.0,-0.7219
92,3.5773000000000006,-0.3382,1.0549,1.4783,-0.02669999999999984,-2.0281,-1.2797
93,3.2996,-1.5423999999999998,0.9144,-1.5894,-0.06420000000000002,-1.4731999999999998,1.2005
94,5.46569999999999,0.8159999999999996,0.3828,1.6182000000000003,-2.3666,-5.231800000000006,-2.5318000000000005
95,0.6252999999999999,1.7220999999999995,-4.1661,-2.0704,-2.1174,-6.059400000000005,-1.0546
96,4.644299999999997,-0.6375999999999997,-5.0405000000000095,-1.5244,-1.1102999999999998,-6.0758000000000045,-3.9686
